X,Y,SHELTER_ID,SHELTER_NAME,ADDRESS_1,CITY,COUNTY_PARISH,FIPS_CODE,STATE,ZIP,MAIL_ADDR_SAME_AS_PHYS_ADDR,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_COUNTY_PARISH,MAILING_STATE,MAILING_ZIP,FACILITY_USAGE_CODE,EVACUATION_CAPACITY,POST_IMPACT_CAPACITY,ADA_COMPLIANT,WHEELCHAIR_ACCESSIBLE,PET_ACCOMMODATIONS_CODE,PET_ACCOMMODATIONS_DESC,GENERATOR_ONSITE,SELF_SUFFICIENT_ELECTRICITY,LATITUDE,LONGITUDE,IN_100_YR_FLOODPLAIN,IN_500_YR_FLOODPLAIN,IN_SURGE_SLOSH_AREA,PRE_LANDFALL_SHELTER,SHELTER_CODE,ORG_ORGANIZATION_ID,ORG_ORGANIZATION_NAME,ORG_MAIN_PHONE,ORG_FAX,ORG_EMAIL,ORG_HOTLINE_PHONE,ORG_OTHER_PHONE,ORG_ADDRESS,ORG_CITY,ORG_STATE,ORG_ZIP,ORG_POC_NAME,ORG_POC_PHONE,ORG_POC_AFTER_HOURS_PHONE,ORG_POC_EMAIL,ORG_HOURS_OF_OPERATION,POPULATION_CODE,INCIDENT_ID,SHELTER_STATUS_CODE,SHELTER_OPEN_DATE,SHELTER_CLOSED_DATE,REPORTING_PERIOD,GENERAL_POPULATION,MEDICAL_NEEDS_POPULATION,OTHER_POPULATION,OTHER_POPULATION_DESCRIPTION,TOTAL_POPULATION,PET_POPULATION,INCIDENT_NUMBER,INCIDENT_NAME,INCIDENT_CODE,OBJECTID,SCORE,STATUS,MATCH_TYPE,LOC_NAME,GEOX,GEOY,FACILITY_TYPE,SUBFACILITY_CODE,DATA_SOURCE_ID
-78.51256431,37.82053182,326546,Scottsville Elementary School,7868 SCOTTSVILLE RD,SCOTTSVILLE,ALBEMARLE, ,VA,24590,NO, , , , , , ,EVAC,57,29, , , , ,YES, ,37.82053182,-78.51256431, , , , ,GENERAL,121280,CENTRAL VIRGINIA CHAPTER, , , , , ,1105 ROSE HILL DR,CHARLOTTESVILLE,VA,22903, , , , ,5-Aug,GENERAL,,CLOSED,,,,,,,,,,,,,131,100,M,A,Street,-78.51256431,37.82053182,SHELTER,GENPOPSHEL,0
-76.42012973,36.78918032,326378,Jolliff Middle School,1021 JOLLIFF RD,CHESAPEAKE,CHESAPEAKE CITY, ,VA,23321,YES, , , , , , ,EVAC,312,0, , , , ,YES, ,36.78918032,-76.42012973,YES, ,YES, ,GENERAL,121825,SOUTHEASTERN VIRGINIA, , , , , ,611 W. Brambleton Ave,NORFOLK,VA,23510, , , , , ,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,250,100,M,A,Street,-76.42012973,36.78918032,SHELTER,GENPOPSHEL,0
-76.60365437,37.46237682,326492,PETSWORTH ELEMENTARY SCHOOL,10658 GEORGE WASHINGTON MEMORIAL HWY,GLOUCESTER,GLOUCESTER, ,VA,23061,NO, , , , , , ,EVAC,238,119, , , , , , ,37.46237682,-76.60365437, , , , ,OTHER,121414,GLOUCESTER COUNTY CHAPTER (VA), , , , , ,2823 GEORGE WASHINGTON MEMORIAL HWY,GLOUCESTER,VA,23061, , , , ,8,OTHER,0,CLOSED,,, ,0,0,0, ,0,0, , , ,260,100,M,A,Street,-76.60365437,37.46237682,SHELTER,OTHER,0
-79.16353856,37.40777898,333946,EC Glass High School,2111 Memorial Avenue,LYNCHBURG,LYNCHBURG CITY, ,VA,24501,NO,2111 Memorial Avenue, ,LYNCHBURG, ,VA,24501,BOTH,1250,625, , , , , , ,37.40777898,-79.16353856, , , , ,GENERAL,121485,HISTORIC VIRGINIA CHAPTER, , , , , ,403 OLEY ST,BEDFORD,VA,24523, , , , ,8,GENERAL,3526,CLOSED,2018/08/02 00:00:00+00,,OVERNIGHT,0,,,,0,,12213,Hurricane Sandy - VA,UNK,932,100,M,A,Street,-79.16353856,37.40777898,SHELTER,GENPOPSHEL,0
-79.20375624,37.38349729,333948,Sandusky Middle School,805 Chinook Place,LYNCHBURG,LYNCHBURG CITY, ,VA,24502,NO,805 Chinook Place, ,LYNCHBURG, ,VA,24502,BOTH,600,300, , , , , , ,37.38349729,-79.20375624, , , , ,GENERAL,121485,HISTORIC VIRGINIA CHAPTER, , , , , ,403 OLEY ST,BEDFORD,VA,24523, , , , ,8,GENERAL,3315,CLOSED,2020/07/02 12:00:00+00,2012/07/07 00:00:00+00,OVERNIGHT,0,,,,0,,48813,Virginia 7/12 OST,UNK,934,100,M,A,Street,-79.20375624,37.38349729,SHELTER,GENPOPSHEL,0
-77.5451636,37.65839305,335778,Hungary Creek Middle School,4909 Francistown Road,GLENALLEN,HENRICO, ,VA,23060,YES,4909 Francistown Road,Glen Allen,GLENALLEN, ,VA,23060,BOTH,363,181, , , , , , ,37.65839305,-77.5451636, , , , ,GENERAL,121445,GREATER RICHMOND CHAPTER, , , , , ,420 EAST CARY ST,RICHMOND,VA,23219, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,1327,90,M,A,Street,-77.5451636,37.65839305,SHELTER,GENPOPSHEL,0
-77.5773953,37.08692786,326262,Dinwiddie Elementary School,13811 Boydton Plank Road,DINWIDDIE,DINWIDDIE, ,VA,23841,YES, , , , , , ,BOTH,250,125, , , , , , ,37.08692786,-77.5773953,NO, ,NO, ,GENERAL,121835,SOUTHSIDE AREA CHAPTER, , , , , ,3267 A South Crater Road,Petersburg,VA,23805, , , , ,8:30 am - 4:30 pm,GENERAL,590,CLOSED,2020/08/27 11:00:00+00,2011/09/01 00:00:00+00,OVERNIGHT,0,0,,,0,,3594,Hurricane Irene 8/11 VA/DC,HUR,1576,100,M,A,Street,-77.5773953,37.08692786,SHELTER,GENPOPSHEL,0
-77.95288923,38.24684643,326410,Lightfoot Elementary School,11360 ZACHARY TAYLOR HWY,UNIONVILLE,ORANGE, ,VA,22567,NO, , , , , , ,EVAC,260,0, ,YES, , ,YES, ,38.24684643,-77.95288923, , , , ,OTHER,121280,CENTRAL VIRGINIA CHAPTER, , , , , ,1105 ROSE HILL DR,CHARLOTTESVILLE,VA,22903, , , , ,5-Aug,OTHER,0,CLOSED,,, ,0,0,0, ,0,0, , , ,1668,100,M,A,Street,-77.95288923,38.24684643,SHELTER,GENPOPSHEL,0
-78.4624361,38.03617126,326140,Burnley-Moran Elementary School,1300 Long Street,CHARLOTTESVLE,ALBEMARLE, ,VA,22902,YES, , , , , , ,BOTH,285,143, , , , ,NO,NO,38.03617126,-78.4624361,NO, ,NO, ,GENERAL,121280,CENTRAL VIRGINIA CHAPTER, , , , , ,1105 ROSE HILL DR,CHARLOTTESVILLE,VA,22903, , , , ,5-Aug,GENERAL,0,CLOSED,2020/06/30 12:00:00+00,, ,0,0,0, ,0,0, , , ,1749,100,M,A,Street,-78.4624361,38.03617126,SHELTER,GENPOPSHEL,0
-76.51963971,36.79911783,326459,Nansemond River High School,3301 NANSEMOND PKWY,Suffolk,Suffolk City, ,VA,23434,NO, , , , , , ,EVAC,500,250, , , , ,YES, ,36.79911783,-76.51963971, , , , ,GENERAL-FUNCTIONAL-MEDICAL,121864,SUFFOLK VIRGINIA, , , , , ,109 1/2 CLAY ST,SUFFOLK,VA,23439, , , , ,5-Aug,GENERAL-MEDICAL-FUNCTIONAL,590,CLOSED,2020/08/27 11:00:00+00,2011/08/28 00:00:00+00,OVERNIGHT,0,,,,,,3594,Hurricane Irene 8/11 VA/DC,HUR,1753,100,M,A,Street,-76.51963971,36.79911783,SHELTER,GENPOPSHEL,0
