FPN,county_city,total_pop_2020,ems,red_cross,fire_station,hospital,national_shelter,urgent_care,total_facilities_shelters,facilities_shelters_per_10000
51001,ACCOMACK,33413,1,18,16,0,3,0,38,11.37281896
51003,ALBEMARLE,112395,0,15,13,4,30,1,63,5.605231549
51510,ALEXANDRIA CITY,159467,1,8,10,1,17,1,38,2.382938163
51005,ALLEGHANY,15223,1,6,12,1,3,0,23,15.10871707
51007,AMELIA,13265,0,7,5,0,6,0,18,13.56954391
51009,AMHERST,31307,0,5,6,0,3,1,15,4.79126074
51011,APPOMATTOX,16119,0,2,4,0,6,0,12,7.44463056
51013,ARLINGTON,238643,1,14,12,1,16,2,46,1.927565443
51015,AUGUSTA,77487,0,16,12,1,17,0,46,5.936479668
51017,BATH,4209,0,3,6,1,6,0,16,38.01378
51019,BEDFORD,79462,1,24,16,1,12,1,55,6.921547406
51021,BLAND,6270,0,1,7,0,6,0,14,22.32854864
51023,BOTETOURT,33596,0,15,5,0,9,0,29,8.631979998
51520,BRISTOL CITY,17219,0,2,3,2,4,0,11,6.388292003
51025,BRUNSWICK,15849,0,5,8,0,6,0,19,11.98813805
51027,BUCHANAN,20355,0,10,11,1,11,0,33,16.21223287
51029,BUCKINGHAM,16824,0,7,3,0,7,0,17,10.10461246
51530,BUENA VISTA CITY,6641,0,2,1,0,3,0,6,9.034783918
51031,CAMPBELL,55696,0,16,7,0,6,0,29,5.206837116
51033,CAROLINE,30887,0,10,6,0,10,1,27,8.741541749
51035,CARROLL,29155,1,8,4,0,18,0,31,10.63282456
51036,CHARLES CITY,6773,0,3,3,0,1,0,7,10.33515429
51037,CHARLOTTE,11529,0,4,7,0,3,0,14,12.14329083
51540,CHARLOTTESVILLE CITY,46553,1,4,0,1,21,0,27,5.799841041
51550,CHESAPEAKE CITY,249422,0,16,15,1,49,3,84,3.367786322
51041,CHESTERFIELD,364548,0,31,25,4,18,4,82,2.249360852
51043,CLARKE,14783,0,6,4,0,7,0,17,11.4996956
51570,COLONIAL HEIGHTS CITY,18170,0,2,2,0,2,1,7,3.852504128
51580,COVINGTON CITY,5737,0,3,0,0,10,0,13,22.65992679
51045,CRAIG,4892,0,2,3,0,2,0,7,14.30907604
51047,CULPEPER,52552,0,8,7,1,17,0,33,6.279494596
51049,CUMBERLAND,9675,0,5,2,0,3,0,10,10.33591731
51590,DANVILLE CITY,42590,0,12,12,2,8,1,35,8.217891524
51051,DICKENSON,14124,0,7,4,1,8,0,20,14.16029453
51053,DINWIDDIE,27947,0,8,3,1,3,0,15,5.367302394
51595,EMPORIA CITY,5766,0,3,1,1,0,0,5,8.671522719
51057,ESSEX,10599,0,4,3,1,2,0,10,9.434852345
51059,FAIRFAX,1150309,1,42,44,7,30,22,146,1.269224182
51600,FAIRFAX CITY,24146,0,2,0,0,4,1,7,2.899030895
51610,FALLS CHURCH CITY,14658,0,1,0,0,1,1,3,2.046663938
51061,FAUQUIER,72972,1,13,13,1,24,3,55,7.537137532
51063,FLOYD,15476,0,7,4,0,6,1,18,11.63091238
51065,FLUVANNA,27249,0,8,5,0,14,0,27,9.9086205
51067,FRANKLIN,54477,0,15,11,1,8,1,36,6.608293408
51620,FRANKLIN CITY,8180,0,2,3,1,2,0,8,9.7799511
51069,FREDERICK,91419,1,12,11,0,5,0,29,3.17220709
51630,FREDERICKSBURG CITY,27982,0,3,2,2,10,0,17,6.075334143
51640,GALAX CITY,6720,0,2,1,1,9,1,14,20.83333333
51071,GILES,16787,0,12,9,2,9,0,32,19.06236969
51073,GLOUCESTER,38711,1,7,6,1,21,2,38,9.816331275
51075,GOOCHLAND,24727,0,6,6,0,3,0,15,6.066243378
51077,GRAYSON,15333,0,7,6,0,13,0,26,16.95689037
51079,GREENE,20552,0,4,3,0,9,0,16,7.785130401
51081,GREENSVILLE,11391,0,0,1,0,1,0,2,1.755772101
51083,HALIFAX,34022,1,15,13,1,9,3,42,12.34495327
51650,HAMPTON CITY,137148,1,17,12,3,16,1,50,3.64569662
51085,HANOVER,109979,0,17,18,3,8,1,47,4.273543131
51660,HARRISONBURG CITY,51814,1,2,4,1,1,1,10,1.929980314
51087,HENRICO,334389,0,26,15,5,38,5,89,2.661570805
51089,HENRY,50948,0,7,15,0,4,0,26,5.103242522
51091,HIGHLAND,2232,0,3,2,0,4,0,9,40.32258065
51670,HOPEWELL CITY,23033,1,5,3,1,6,0,16,6.946554943
51093,ISLE OF WIGHT,38606,0,6,5,0,9,1,21,5.439568979
51095,JAMES CITY,78254,1,5,5,3,28,2,44,5.622715772
51097,KING AND QUEEN,6608,0,7,5,0,0,0,12,18.1598063
51099,KING GEORGE,26723,0,4,4,0,8,1,17,6.361561202
51101,KING WILLIAM,17810,0,4,3,0,3,0,10,5.614823133
51103,LANCASTER,10919,1,3,4,1,3,0,12,10.9900174
51105,LEE,22173,0,13,9,1,9,0,32,14.43196681
51678,LEXINGTON CITY,7320,0,2,0,1,6,0,9,12.29508197
51107,LOUDOUN,420959,1,19,24,4,60,11,119,2.826878627
51109,LOUISA,37596,0,12,9,0,17,0,38,10.10745824
51111,LUNENBURG,11936,0,4,2,0,0,0,6,5.026809651
51680,LYNCHBURG CITY,79009,0,9,11,3,16,0,39,4.936146515
51113,MADISON,13837,0,3,1,0,7,0,11,7.949700079
51683,MANASSAS CITY,42772,1,2,1,1,5,2,12,2.80557374
51685,MANASSAS PARK CITY,17219,0,1,3,0,0,0,4,2.323015274
51690,MARTINSVILLE CITY,13485,1,3,5,1,3,1,14,10.38190582
51115,MATHEWS,8533,0,1,5,0,2,0,8,9.375366225
51117,MECKLENBURG,30319,0,10,8,1,3,0,22,7.256175995
51119,MIDDLESEX,10625,0,3,4,0,2,0,9,8.470588235
51121,MONTGOMERY,99721,1,8,7,2,42,0,60,6.016786835
51125,NELSON,14775,0,10,7,0,16,0,33,22.33502538
51127,NEW KENT,22945,0,4,4,1,7,0,16,6.973196775
51700,NEWPORT NEWS CITY,186247,0,13,13,5,19,2,52,2.79199128
51710,NORFOLK CITY,238005,1,20,19,7,51,4,102,4.285624252
51131,NORTHAMPTON,12282,0,4,5,1,2,0,12,9.770395701
51133,NORTHUMBERLAND,11839,1,4,4,0,8,0,17,14.35932089
51720,NORTON CITY,3687,0,1,2,2,3,1,9,24.4100895
51135,NOTTOWAY,15642,0,5,4,1,4,0,14,8.950262115
51137,ORANGE,36254,0,8,4,0,13,0,25,6.895790809
51139,PAGE,23709,0,7,5,1,8,0,21,8.857395926
